customer_id,name,class,gender,start_date,end_date,campaign_id,is_deleted,class_name,price,campaign_name,mean,median,amax,amin,flag1,cal_date,mem_period
OA832399,XXXX,C01,F,2015-05-01,,CA1,0,0_종일,10500,2_일반,4.833333333333333,5.0,8,2,1,2019-04-30,47.968130762438655
PL270116,XXXXX,C01,M,2015-05-01,,CA1,0,0_종일,10500,2_일반,5.083333333333333,5.0,7,3,1,2019-04-30,47.968130762438655
OA974876,XXXXX,C01,M,2015-05-01,,CA1,0,0_종일,10500,2_일반,4.583333333333333,5.0,6,3,1,2019-04-30,47.968130762438655
HD024127,XXXXX,C01,F,2015-05-01,,CA1,0,0_종일,10500,2_일반,4.833333333333333,4.5,7,2,1,2019-04-30,47.968130762438655
HD661448,XXXXX,C03,F,2015-05-01,,CA1,0,2_야간,6000,2_일반,3.9166666666666665,4.0,6,1,1,2019-04-30,47.968130762438655
IK271057,XXXXX,C01,M,2015-05-01,,CA1,0,0_종일,10500,2_일반,3.75,3.5,5,2,1,2019-04-30,47.968130762438655
HI324666,XXXXX,C01,M,2015-05-01,,CA1,0,0_종일,10500,2_일반,3.9166666666666665,3.5,7,2,1,2019-04-30,47.968130762438655
AS647421,XXXXX,C01,F,2015-05-01,,CA1,0,0_종일,10500,2_일반,4.5,4.0,9,2,1,2019-04-30,47.968130762438655
AS069821,XXXXXX,C03,F,2015-05-01,,CA1,0,2_야간,6000,2_일반,4.083333333333333,3.5,7,2,1,2019-04-30,47.968130762438655
GD039425,XXXXX,C01,F,2015-05-01,,CA1,0,0_종일,10500,2_일반,4.666666666666667,4.5,7,3,1,2019-04-30,47.968130762438655
OA789036,XXXXX,C02,F,2015-05-01,,CA1,0,1_주간,7500,2_일반,4.75,5.0,7,1,1,2019-04-30,47.968130762438655
AS058623,XXXXX,C01,F,2015-05-01,,CA1,0,0_종일,10500,2_일반,4.5,5.0,6,3,1,2019-04-30,47.968130762438655
AS857207,XXXXX,C02,F,2015-05-01,,CA1,0,1_주간,7500,2_일반,4.5,5.0,8,2,1,2019-04-30,47.968130762438655
AS625883,XXXX,C02,F,2015-05-01,,CA1,0,1_주간,7500,2_일반,4.75,5.0,6,2,1,2019-04-30,47.968130762438655
HD782984,XXXXX,C02,F,2015-05-01,,CA1,0,1_주간,7500,2_일반,4.833333333333333,5.0,7,2,1,2019-04-30,47.968130762438655
HI804186,XXXX,C02,F,2015-05-01,,CA1,0,1_주간,7500,2_일반,4.833333333333333,5.0,7,2,1,2019-04-30,47.968130762438655
AS732240,XXXXX,C02,F,2015-05-01,,CA1,0,1_주간,7500,2_일반,4.666666666666667,5.0,7,2,1,2019-04-30,47.968130762438655
PL834411,XXXXX,C03,F,2015-05-01,,CA1,0,2_야간,6000,2_일반,4.916666666666667,4.5,8,1,1,2019-04-30,47.968130762438655
HD516059,XXX,C03,M,2015-05-01,,CA1,0,2_야간,6000,2_일반,4.166666666666667,4.0,7,1,1,2019-04-30,47.968130762438655
HD194702,XXXX,C02,F,2015-05-01,,CA1,0,1_주간,7500,2_일반,4.916666666666667,5.0,8,1,1,2019-04-30,47.968130762438655
IK102369,XXXX,C01,M,2015-05-01,,CA1,0,0_종일,10500,2_일반,4.75,5.0,6,3,1,2019-04-30,47.968130762438655
