"날짜","향수"
"2021-01-01",58
"2021-01-02",60
"2021-01-03",68
"2021-01-04",70
"2021-01-05",67
"2021-01-06",74
"2021-01-07",57
"2021-01-08",59
"2021-01-09",62
"2021-01-10",77
"2021-01-11",71
"2021-01-12",71
"2021-01-13",70
"2021-01-14",61
"2021-01-15",61
"2021-01-16",65
"2021-01-17",65
"2021-01-18",70
"2021-01-19",65
"2021-01-20",71
"2021-01-21",60
"2021-01-22",53
"2021-01-23",63
"2021-01-24",78
"2021-01-25",79
"2021-01-26",70
"2021-01-27",65
"2021-01-28",66
"2021-01-29",66
"2021-01-30",66
"2021-01-31",70
"2021-02-01",78
"2021-02-02",78
"2021-02-03",80
"2021-02-04",78
"2021-02-05",69
"2021-02-06",72
"2021-02-07",90
"2021-02-08",77
"2021-02-09",61
"2021-02-10",60
"2021-02-11",68
"2021-02-12",71
"2021-02-13",80
"2021-02-14",93
"2021-02-15",79
"2021-02-16",66
"2021-02-17",85
"2021-02-18",76
"2021-02-19",67
"2021-02-20",66
"2021-02-21",72
"2021-02-22",59
"2021-02-23",68
"2021-02-24",70
"2021-02-25",58
"2021-02-26",61
"2021-02-27",69
"2021-02-28",76
"2021-03-01",85
"2021-03-02",68
"2021-03-03",55
"2021-03-04",53
"2021-03-05",53
"2021-03-06",68
"2021-03-07",89
"2021-03-08",82
"2021-03-09",76
"2021-03-10",65
"2021-03-11",59
"2021-03-12",58
"2021-03-13",60
"2021-03-14",85
"2021-03-15",74
"2021-03-16",62
"2021-03-17",64
"2021-03-18",54
"2021-03-19",57
"2021-03-20",57
"2021-03-21",71
"2021-03-22",58
"2021-03-23",51
"2021-03-24",68
"2021-03-25",68
"2021-03-26",49
"2021-03-27",66
"2021-03-28",73
"2021-03-29",62
"2021-03-30",52
"2021-03-31",56
"2021-04-01",63
"2021-04-02",48
"2021-04-03",68
"2021-04-04",80
"2021-04-05",62
"2021-04-06",70
"2021-04-07",74
"2021-04-08",66
"2021-04-09",66
"2021-04-10",63
"2021-04-11",74
"2021-04-12",70
"2021-04-13",64
"2021-04-14",63
"2021-04-15",73
"2021-04-16",58
"2021-04-17",59
"2021-04-18",65
"2021-04-19",56
"2021-04-20",57
"2021-04-21",67
"2021-04-22",63
"2021-04-23",55
"2021-04-24",61
"2021-04-25",65
"2021-04-26",51
"2021-04-27",66
"2021-04-28",62
"2021-04-29",57
"2021-04-30",53
"2021-05-01",65
"2021-05-02",82
"2021-05-03",76
"2021-05-04",83
"2021-05-05",74
"2021-05-06",83
"2021-05-07",62
"2021-05-08",65
"2021-05-09",68
"2021-05-10",71
"2021-05-11",84
"2021-05-12",77
"2021-05-13",64
"2021-05-14",67
"2021-05-15",70
"2021-05-16",89
"2021-05-17",98
"2021-05-18",77
"2021-05-19",73
"2021-05-20",66
"2021-05-21",61
"2021-05-22",60
"2021-05-23",66
"2021-05-24",69
"2021-05-25",64
"2021-05-26",57
"2021-05-27",52
"2021-05-28",58
"2021-05-29",62
"2021-05-30",64
"2021-05-31",66
"2021-06-01",75
"2021-06-02",67
"2021-06-03",76
"2021-06-04",59
"2021-06-05",54
"2021-06-06",72
"2021-06-07",72
"2021-06-08",65
"2021-06-09",61
"2021-06-10",61
"2021-06-11",58
"2021-06-12",55
"2021-06-13",70
"2021-06-14",65
"2021-06-15",61
"2021-06-16",63
"2021-06-17",64
"2021-06-18",58
